"","x2","y1"
"1",54,46
"2",68,51
"3",60,54
"4",66,65
"5",19,27
"6",33,36
"7",37,33
"8",55,60
"9",62,59
"10",63,68
"11",57,57
"12",70,68
"13",57,61
"14",67,68
"15",52,56
"16",54,54
"17",47,57
"18",34,36
"19",44,43
"20",67,64
"21",32,37
"22",22,29
"23",43,37
"24",66,66
"25",65,67
"26",59,59
"27",35,43
"28",45,50
"29",37,52
"30",37,56
"31",28,30
"32",67,67
"33",31,40
"34",50,61
"35",55,47
"36",54,57
"37",27,18
"38",57,59
"39",60,46
"40",56,49
"41",62,59
"42",71,71
"43",56,57
"44",29,31
"45",70,68
"46",31,30
"47",65,62
"48",25,28
"49",59,60
"50",40,50
"51",68,65
"52",61,58
"53",56,50
"54",53,51
"55",66,63
"56",43,47
"57",60,58
"58",51,57
"59",61,58
"60",48,51
"61",33,36
"62",54,65
"63",47,42
"64",36,43
"65",29,29
"66",24,32
"67",39,35
"68",68,69
"69",55,43
"70",59,55
"71",22,37
"72",60,55
"73",59,66
"74",59,49
"75",60,58
"76",43,48
"77",47,56
"78",60,60
"79",29,39
"80",36,41
"81",63,48
"82",34,33
"83",64,62
"84",46,48
"85",28,32
"86",44,55
"87",33,42
"88",65,66
"89",34,29
"90",48,53
"91",49,54
"92",22,30
"93",38,46
"94",54,59
"95",68,60
"96",69,64
"97",28,24
"98",48,53
"99",52,55
"100",54,62
"101",67,69
"102",62,56
"103",48,49
"104",65,64
"105",58,53
"106",53,54
"107",65,65
"108",61,57
"109",48,43
"110",67,71
"111",63,63
"112",42,53
"113",49,48
"114",62,62
"115",58,38
"116",21,27
"117",63,60
"118",58,59
"119",56,46
"120",54,50
"121",53,57
"122",36,50
"123",60,59
"124",53,65
"125",29,27
"126",52,55
"127",72,65
"128",37,43
"129",67,64
"130",56,58
"131",66,61
"132",38,36
"133",27,39
"134",52,51
"135",54,50
"136",39,50
"137",68,62
"138",63,61
"139",67,69
"140",54,46
